Year,Price,Yield,Crop
2009,260.7721088435374,270.5048231511254,Dist Code
2010,260.5,270.5048231511254,Dist Code
2011,260.5,270.5048231511254,Dist Code
2012,261.19191919191917,270.5048231511254,Dist Code
2013,244.9718875502008,271.0709677419355,Dist Code
2014,271.89811320754717,271.0709677419355,Dist Code
2015,266.0965250965251,271.0709677419355,Dist Code
2016,267.9503816793893,270.5048231511254,Dist Code
2009,9.414965986394558,9.57556270096463,State Code
2010,9.503355704697986,9.57556270096463,State Code
2011,9.503355704697986,9.57556270096463,State Code
2012,9.468013468013469,9.57556270096463,State Code
2013,8.995983935742972,9.583870967741936,State Code
2014,9.011320754716982,9.583870967741936,State Code
2015,9.216216216216216,9.583870967741936,State Code
2016,9.061068702290076,9.57556270096463,State Code
